name,description,address,postalCode,latlng,status,companyName,domainName
Eco Dua@Batu Pahat Branch,,"No. 159 & 160, (Ground Floor), Jalan Bukit Pasir, 83050 Batu Pahat, Johor Darul Takzim.",83050,,ACTIVE,Eco Dua@Batu Pahat Branch,ECO DUA
Eco Dua@Kota Marudu Branch,,"No. 9 - No. 13 A(Ground Floor & 1st floor), Cosmo Point, Jalan Langkon, 89100 Kota Marudu, Sabah",89100,,ACTIVE,Eco Dua@Kota Marudu Branch,ECO DUA
Eco Dua@Pasir Pekan Branch,,"PT 3493, PT 3494, Lot 760, Lot 762, Lot 2235, Dewan Badminton Pasir Pekan, 16250 Wakaf Bharu, Kelantan.",16250,,ACTIVE,Eco Dua@Pasir Pekan Branch,ECO DUA
Eco Dua@Kuala Berang Branch,,"Lot 9560 - 9563, Kampung Batu 24, Jalan Sekayu,21700 Kuala Berang, Terengganu.",21700,,ACTIVE,Eco Dua@Kuala Berang Branch,ECO DUA
Eco Dua@Shah Alam Branch,,"26, 28 & 30 (Grd & 1st Flr), Jalan 25/65, Taman Sri Muda, Seksyen 25, 40400 Shah Alam, Selangor Darul Ehsan.",40400,,ACTIVE,Eco Dua@Shah Alam Branch,ECO DUA
Eco Dua@Chukai Branch,,"K-564 & K-565, Tkt Bawah Dan Tkt 1, Jalan Jakar, 24000 Kemaman, Terengganu.",24000,,ACTIVE,Eco Dua@Chukai Branch,ECO DUA
Eco Dua@Pasir Puteh Branch,,"Lot 2994 & 2995, Bandar Baru Pasir Puteh Sentral, Mukim Pengkalan, 16800 Pasir Puteh, Kelantan.",16800,,ACTIVE,Eco Dua@Pasir Puteh Branch,ECO DUA
Eco Dua@Kamunting Branch,,"No.16, 18, 20, 22, Tkt Bwh, Jln Perwira 2, Medan Perwira, 34600 Kamunting, Perak.",34600,,ACTIVE,Eco Dua@Kamunting Branch,ECO DUA
Eco Dua@One Borneo Branch,,"Lot No. F-600, F-607 & F-608, 1 Borneo Hypermall, 88400 Kota Kinabalu, Sabah.",88400,,ACTIVE,Eco Dua@One Borneo Branch,ECO DUA
Eco Dua@Gambang Branch,,"No B2, B4, B6, B8 Grd, 1st & 2nd Floor, Jln Kurnia Jaya 3, 25150 Kuantan, Pahang Darul Makmur.",25150,,ACTIVE,Eco Dua@Gambang Branch,ECO DUA
Eco Dua@Sitiawan Branch,,"No.3, (Ground And First Floor), Jalan Sentral 1, Sitiawan Sentral, 32000, Sitiawan, Perak.",32000,,ACTIVE,Eco Dua@Sitiawan Branch,ECO DUA
Eco Dua@Kangar Branch,,"No.1 & 91, B14 & B15, Jalan Arau, Kangar, 02600 Jejawi, Perlis.",02600,,ACTIVE,Eco Dua@Kangar Branch,ECO DUA
Eco Dua@Jengka Branch,,"No 71 & 72, Ground Floor Dan 1St Floor, Lorong Baiduri 7, Nadi Kota, 26400 Bandar Pusat Jengka, Pahang.",26400,,ACTIVE,Eco Dua@Jengka Branch,ECO DUA
Eco Dua@Bentong Branch,,"P6G-P7G, Jln Mg1, Pusat Perniagaan Mutiara Gemilang, 28700 Bentong, Pahang.",28700,,ACTIVE,Eco Dua@Bentong Branch,ECO DUA
